City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,abalak,58.1286,68.5944,-18.32,99,100,1.53,RU,1675727123
1,abha,18.2164,42.5053,12.14,82,0,6.17,SA,1675727201
2,abu dhabi,24.6,72.7,10.97,57,0,1.54,IN,1675727092
3,abu kamal,24.6,72.7,10.97,57,0,1.54,IN,1675727092
4,abu samrah,24.6,72.7,10.97,57,0,1.54,IN,1675727185
5,acari,-15.4311,-74.6158,24.71,87,84,2.72,PE,1675727193
6,adrar,20.5022,-10.0711,16.21,24,30,4.19,MR,1675727245
7,ahipara,-35.1667,173.1667,22.1,58,18,3.78,NZ,1675727252
8,ahuimanu,21.4447,-157.8378,28.84,71,75,7.72,US,1675727171
9,airai,-8.9266,125.4092,19.58,76,74,1.27,TL,1675727127
10,akaltara,22.0167,82.4333,13.86,37,0,1.74,IN,1675727148
11,aklavik,68.2191,-135.0107,-34.0,68,40,1.03,CA,1675727256
12,aksarka,66.5606,67.7975,-26.06,100,97,1.25,RU,1675727237
13,aksu,41.1231,80.2644,-3.37,81,98,1.63,CN,1675727152
14,albany,42.6001,-73.9662,-0.15,68,84,0.45,US,1675726907
15,alberton,46.8168,-64.0654,-4.93,91,100,5.71,CA,1675726754
16,alice springs,27.7523,-98.0697,24.85,60,0,10.8,US,1675726911
17,alofi,-19.0595,-169.9187,29.94,70,40,3.6,NU,1675727275
18,alugan,12.2188,125.4808,26.74,77,77,5.8,PH,1675727277
19,alyangula,-13.8483,136.4192,29.62,58,65,0.83,AU,1675727222
20,amapa,1.0,-52.0,22.51,98,98,1.3,BR,1675727119
21,anadyr,64.75,177.4833,-24.72,75,100,6.0,RU,1675727176
22,angoche,-16.2325,39.9086,24.92,91,99,2.94,MZ,1675727265
23,anloga,5.7947,0.8973,26.92,86,63,6.83,GH,1675727162
24,antofagasta,-23.65,-70.4,21.6,83,30,1.7,CL,1675727186
25,arman,59.7,150.1667,-26.54,81,82,3.75,RU,1675727289
26,arraial do cabo,-22.8362,-46.646,19.45,92,93,1.25,BR,1675727100
27,artyom,40.4723,50.333,3.08,81,39,2.8,AZ,1675727295
28,asau,46.4333,26.4,-5.49,92,70,2.27,RO,1675727150
29,asfi,32.2994,-9.2372,12.48,78,3,2.64,MA,1675727153
30,atar,20.5169,-13.0499,16.59,27,0,4.02,MR,1675727172
31,atasu,48.6814,71.6433,-14.97,99,100,2.77,KZ,1675727211
32,atuona,-9.8,-139.0333,25.92,77,16,5.88,PF,1675727071
33,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,1675727077
34,aykhal,66.0,111.5,-35.5,100,98,1.55,RU,1675727102
35,baherden,38.4362,57.4316,9.03,43,9,3.22,TM,1675727298
36,baie-comeau,49.2168,-68.1489,-20.18,84,0,1.03,CA,1675727148
37,bako,5.7833,36.5667,19.39,43,28,1.76,ET,1675727071
38,balakhta,55.38,91.6,-26.73,100,100,0.19,RU,1675727212
39,balikpapan,-1.2675,116.8289,24.55,94,20,3.09,ID,1675727148
40,ballina,-28.8667,153.5667,25.99,73,96,3.23,AU,1675727198
41,balsas,-7.5325,-46.0356,24.78,78,73,1.38,BR,1675727112
42,bambous virieux,-20.2567,57.4061,25.08,80,87,4.46,MU,1675727124
43,bambui,-20.0064,-45.9769,22.6,83,100,0.86,BR,1675727290
44,bara,10.3744,10.7288,24.19,17,98,4.65,NG,1675727209
45,barkly west,-36.9333,143.2,21.31,41,3,3.93,AU,1675727318
46,barrow,71.2906,-156.7887,-22.99,77,100,3.6,US,1675727087
